Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
139,106,广州软件学院,Fight the tiger tonight,1,29,-,-,+1(29),-,-,-,-,-,-,-,-3,-,-,0%,Honorable,赵晋诺,叶俊贤,黄智源,Jianqiang Chen(Coach),N,N
140,107,湖北经济学院,VGod is coming,1,30,-,-,+1(30),-,-,-,-,-4,-,-,-2,-,-,0%,Honorable,郑奥,余章广,吴子维,Gang Zhou(Coach),N,N
141,,宁波工程学院,but look at the time!,1,32,-,-,+1(32),-,-,-,-,-,-,-,-5,-,-,0%,Honorable,叶德坚,郑坚淳,陈南丞,Jianghua Xuan(Coach),N,N
142,108,香港浸会大学,Teletubbies,1,38,-,-,+2(18),-,-,-,-,-,-,-,-4,-,-,50%,Honorable,印无忧,张旭景,姜蒙,Xin Huang(Coach),N,N
143,109,Mongolian University of Science and Technology,sict3,1,43,-,-,+1(43),-,-,-,-,-,-,-,-11,-,-,0%,Honorable,Munkhbagana Munkhtur,Boldbaatar Galsanjamts,Davkharbayar Nemekhbayar,Khuder Altangerel(Coach),N,N
144,110,西南大学,AC the example,1,45,-,-,+1(45),-,-,-,-,-,-,-,-8,-,-,0%,Honorable,江嘉杰,邓一,雷昕语,Xian-Feng Han(Coach),N,N
145,111,江苏海洋大学,"good good study,day day up!",1,46,-,-,+1(46),-,-,-,-,-,-,-,-6,-,-,0%,Honorable,房鸿铭,马迪,,,N,N
146,112,上海建桥学院,qjitna,1,51,-,-,+2(31),-,-,-,-,-,-,-,-1,-,-,50%,Honorable,林子航,周羽杰,付豪,chuanjie lin(Coach),N,N
147,113,南京大学,"If I get a medal, she'll come back to me",1,59,-,-,+2(39),-,-,-,-,-,-,-,-5,-,-,50%,Honorable,杨卡达,陈俊曦,王敬,GuiPing Wang(Coach),N,N
148,114,上海立信会计金融学院,A Two-Day Trip to Hong Kong,1,125,-,-,+2(105),-,-,-,-,-,-,-,-10,-,-,50%,Honorable,Yujie Luo,Boyu Lu,,,N,N
149,115,澳门城市大学,perfectHansome,1,149,-,-,+3(109),-,-,-,-,-,-,-,-3,-,-,66%,Honorable,Mingxu Zhu,Muhan Hao,Fangyuan Jian,Sanshuai Cui(Coach),N,N
