Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Member1,Member2,Member3,Coach,Unofficial,Girl
108,67,香港科技大学,HKUST1,5,555,-,+1(13),-,-13,+1(37),+1(69),-,-,-,-4,+6(174),+3(122),-,58%,Bronze,黃梓峰,楊善行,呂嘉傑,饶哲凡,N,N
109,68,苏州大学,金闪闪,5,562,-,+1(17),-,-,+2(42),+1(90),-,-,-,-3,+3(223),+1(130),-,37%,Bronze,周进一,韩则进,肖锦嗣,朱晓旭,N,N
110,,香港中文大學,順命,5,564,-,+2(22),-,-,+2(59),+2(64),-,-,-12,-7,+5(142),+1(137),-,58%,Bronze,姜宣丞,衛家熙,吳曉峻,麦伟豪,N,N
111,69,西北农林科技大学,你拿牌好熟练,5,565,-,+1(24),-,-,+1(41),+1(146),-,-,-,-2,+3(110),+1(204),-,28%,Bronze,寻真,蔡祺峰,曾令顺,耿耀君,N,N
112,70,上海理工大学,七遇绮迹 未来会来,5,569,-,+1(19),-,-,+1(32),+1(129),-,-,-,-5,+4(95),+2(214),-,44%,Bronze,胡洁昌,刘斌然,姚陆涵茗,周春樵,N,N
113,,苏州大学,Blowback,5,571,-,+1(27),-,-,+1(50),+1(97),-,-,-1,-1,+3(149),+2(188),-,37%,Bronze,王宇轩,简嘉瑶,周骁逸,赵雷,N,N
114,,电子科技大学,UESTC_AC才是硬道理,5,586,-,+1(31),-,-,+2(72),+1(131),-,-,-,-9,+2(106),+3(166),-,44%,Bronze,彭帅康,李奕聪,陈奕可,汪小平,N,N
115,71,南华大学,昨天刚学cpp,5,588,-,+1(22),-,-,+2(45),+1(101),-,-,-,-6,+2(160),+1(220),-,28%,Bronze,王圣宇,羊新旺,王政星,刘杰,N,N
116,,浙江师范大学,羊村王中王,5,590,-,+1(18),-,-,+1(56),+1(107),-,-,-,-2,+1(163),+2(226),-,16%,Bronze,陈炯荣,嵇纹垲,林宸,宋炯,N,N
117,72,北京化工大学,祝你好运玩得开心,5,596,-,+1(17),-,-,+2(57),+1(108),-,-,-,-,+4(134),+2(180),-,50%,Bronze,徐文博,曾梓勋,黄东琦,刘勇,N,N
118,,复旦大学,有密码,5,601,-,+2(26),-,-,+2(57),+1(75),-,-,-1,-,+5(104),+1(219),-,54%,Bronze,马成,刘皓蓝,陈可汗,孙未未,N,N
119,,河海大学,我的铁牌物语果然有问题,5,602,-,+2(22),-,-,+2(43),+1(149),-,-,-,-,+2(88),+2(220),-,44%,Bronze,徐圣翔,付宏磊,朱庆刚,张雪洁,N,N
119,73,香港理工大学,一川烟草,5,602,-,+1(13),-,-,+2(60),+1(107),-,-,-5,-,+3(120),+1(242),-,37%,Bronze,向昱帆,徐乐,孙涵松,李博,N,N
121,,香港科技大学,KUSHT,5,607,-,+1(24),-,-,+1(62),+1(118),-,-,-4,-2,+4(186),+1(157),-,37%,Bronze,Raiymbek Baishuak,Taimas Korganbayev,Mukhammadarif Sakhmoldin,饶哲凡,N,N
122,,西安交通大学,天狼星的心脏,5,608,-,+2(25),-1,-,+1(39),+1(114),-,-,-,-4,+7(202),+1(88),-,58%,Bronze,洪家庆,刘一可,许孜诚,王龙翔,N,N
123,74,浙大城市学院,来三杯拿铁,5,619,-,+1(10),-,-,+2(66),+1(130),-,-,-,-4,+3(149),+1(204),-,37%,Bronze,潘劲帆,李时博,章晨榆,柯海丰,N,N
124,,南京大学,太平,5,623,-,+1(23),-,-,+1(52),+1(158),-,-,-,-,+2(135),+2(215),-,28%,Bronze,陈昊洋,黄可唯,王恺翔,马骏,N,N
125,,浙大城市学院,星辰雨,5,624,-,+1(17),-,-,+2(60),+1(120),-,-,-,-2,+3(179),+2(168),-,44%,Bronze,方韬瑜,楼晨,沈昕哲,柯海丰,N,N
126,,哈尔滨工业大学,蓬莱人形,5,625,-,+2(18),-,-9,+2(50),+2(88),-,-,-,-7,+6(148),+2(141),-,64%,Bronze,陈煜航,丁文涛,金义扬,孙大烈,N,N
127,75,浙江理工大学,飞飞,5,628,-,+2(32),-,-,+3(73),+1(104),-,-,-,-,+4(133),+1(166),-,54%,Bronze,朱鑫鑫,薛淞尹,徐波,叶海荣,N,N
128,,四川大学,难题肉搏小队,5,630,-,+1(44),-,-,+3(60),+1(48),-,-,+5(234),-,-7,+1(124),-,54%,Bronze,杨轶涵,李名骕,苏臻,左劼,N,N
129,76,西安电子科技大学,三分之二去零点,5,631,-,+1(23),-,-,+1(40),+3(220),-,-,-,-4,+1(104),+2(184),-,37%,Bronze,曾岩,汪文轩,田康杰,张淑平,N,N
130,,北京航空航天大学,会挽雕弓如满月,5,632,-,+2(27),-,-,+1(50),+1(103),-,-,-,-3,+6(129),+2(183),-,58%,Bronze,傅可树,梁钧著,马一,宋友,N,N
131,77,哈尔滨理工大学,哈理工02队SH,5,633,-,+2(67),-,-,+1(99),+1(121),-,-,-,-4,+2(71),+2(215),-,37%,Bronze,吕锦泽,王开纪,王令开,唐远新,N,N
